US1|4300000001
AZ1|4300000001
CN4|4300000002
NB7|4300000002
US4|4300000003
CA5|4300000003
US4|4300000004
WI3|4300000004
CN1|4300000005
ON2|4300000005
CN3|4300000006
BC6|4300000006
CN3|4300000007
AB4|4300000007
CN3|4300000008
ON7|4300000008
US5|4300000009
CA6|4300000009
US3|4300000010
CA3|4300000010
CN4|4300000011
BC10|4300000011
CN3|4300000012
BC8|4300000012
US4|4300000013
TX1|4300000013
CN1|4300000014
AB2|4300000014
US2|4300000015
NV1|4300000015
CN2|4300000016
BC5|4300000016
CN1|4300000017
QC1|4300000017
US2|4300000018
PA1|4300000018
CN2|4300000019
ON4|4300000019
US1|4300000020
CA1|4300000020
CN4|4300000021
BC8|4300000021
US2|4300000022
LA2|4300000022
US1|4300000023
VA1|4300000023
US1|4300000024
NV1|4300000024
US3|4300000025
MI1|4300000025
US4|4300000026
AL3|4300000026
US4|4300000027
CA5|4300000027
US2|4300000028
FL1|4300000028
US5|4300000029
CA5|4300000029
CN3|4300000030
BC7|4300000030
CN4|4300000031
QC3|4300000031
US2|4300000032
CA2|4300000032
US5|4300000033
TN1|4300000033
US1|4300000034
TX1|4300000034
CN3|4300000035
BC6|4300000035
US5|4300000036
PA1|4300000036
US1|4300000037
IL1|4300000037
US4|4300000038
CA5|4300000038
US3|4300000039
IA5|4300000039
US4|4300000040
CA5|4300000040
US4|4300000041
IL1|4300000041
CN4|4300000042
AB6|4300000042
CN1|4300000043
NT3|4300000043
CN3|4300000044
QC2|4300000044
US2|4300000045
IL1|4300000045
CN3|4300000046
ON6|4300000046
CN2|4300000047
ON5|4300000047
CN3|4300000048
ON6|4300000048
US2|4300000049
CA3|4300000049
CN2|4300000050
QC2|4300000050
US3|4300000051
GA3|4300000051
US2|4300000052
CA2|4300000052
CN3|4300000053
AB4|4300000053
US4|4300000054
CA5|4300000054
US4|4300000055
PA1|4300000055
US3|4300000056
NY3|4300000056
CN3|4300000057
AB5|4300000057
CN2|4300000058
BC5|4300000058
US1|4300000059
TX1|4300000059
CN1|4300000060
AB1|4300000060
CN1|4300000061
BC2|4300000061
US5|4300000062
NY5|4300000062
CN3|4300000063
QC2|4300000063
US5|4300000064
TX1|4300000064
US5|4300000065
NY5|4300000065
CN3|4300000066
ON7|4300000066
US2|4300000067
NY2|4300000067
US1|4300000068
NY1|4300000068
CN1|4300000069
QC1|4300000069
US3|4300000070
CA3|4300000070
US5|4300000071
CA6|4300000071
CN2|4300000072
ON5|4300000072
CN2|4300000073
ON3|4300000073
CN2|4300000074
BC4|4300000074
US4|4300000075
NC3|4300000075
US1|4300000076
OH1|4300000076
US5|4300000077
CA6|4300000077
US2|4300000078
CA2|4300000078
CN1|4300000079
QC1|4300000079
US3|4300000080
TX1|4300000080
CN4|4300000081
BC10|4300000081
US1|4300000082
NY1|4300000082
US1|4300000083
CA1|4300000083
CN4|4300000084
QC3|4300000084
US5|4300000085
IL1|4300000085
US3|4300000086
FL1|4300000086
US1|4300000087
DC1|4300000087
CN2|4300000088
BC3|4300000088
US5|4300000089
AL3|4300000089
US4|4300000090
VA4|4300000090
US3|4300000091
CA4|4300000091
CN1|4300000092
BC2|4300000092
US3|4300000093
CA4|4300000093
US4|4300000094
NY4|4300000094
US5|4300000095
NY5|4300000095
CN2|4300000096
BC5|4300000096
US1|4300000097
CA1|4300000097
CN2|4300000098
NB2|4300000098
CN4|4300000099
QC3|4300000099
CN3|4300000100
QC2|4300000100
US5|4300000101
CA6|4300000101
US4|4300000102
PA1|4300000102
US1|4300000103
MO2|4300000103
US4|4300000104
IL1|4300000104
US3|4300000105
TX1|4300000105
CN4|4300000106
BC10|4300000106
US5|4300000107
NY5|4300000107
CN3|4300000108
BC7|4300000108
US2|4300000109
MO3|4300000109
US2|4300000110
CA2|4300000110
US4|4300000111
AL2|4300000111
CN4|4300000112
ON10|4300000112
US3|4300000113
NY3|4300000113
US1|4300000114
CO1|4300000114
US4|4300000115
ID6|4300000115
CN3|4300000116
BC6|4300000116
US1|4300000117
KS1|4300000117
US5|4300000118
NY5|4300000118
US4|4300000119
MO7|4300000119
US5|4300000120
UT6|4300000120
US3|4300000121
NY3|4300000121
CN2|4300000122
AB3|4300000122
CN4|4300000123
ON10|4300000123
US4|4300000124
WV4|4300000124
US2|4300000125
NY2|4300000125
US1|4300000126
NY1|4300000126
US5|4300000127
CA6|4300000127
CN1|4300000128
ON2|4300000128
CN3|4300000129
ON6|4300000129
CN2|4300000130
BC4|4300000130
US2|4300000131
TX1|4300000131
CN4|4300000132
BC8|4300000132
US2|4300000133
CA2|4300000133
US4|4300000134
AL2|4300000134
US3|4300000135
CO1|4300000135
CN1|4300000136
AB1|4300000136
US2|4300000137
AK1|4300000137
CN1|4300000138
QC1|4300000138
CN2|4300000139
ON3|4300000139
US3|4300000140
AL2|4300000140
US4|4300000141
IL1|4300000141
CN4|4300000142
BC9|4300000142
US1|4300000143
CA1|4300000143
US3|4300000144
CA4|4300000144
US2|4300000145
CA3|4300000145
CN2|4300000146
AB2|4300000146
US5|4300000147
VA4|4300000147
US1|4300000148
PA1|4300000148
US3|4300000149
CA3|4300000149
US2|4300000150
MO3|4300000150
US5|4300000151
CA6|4300000151
US5|4300000152
CA5|4300000152
