200000000000005|2005-01-03 09:00:01.511|CMPT|TMB|1|ZGENPRC|200|22.41|43000000344|Angel Husman|22.41|4.50|16.14|0.00|1
200000000000002|2005-01-03 09:00:01.541|CMPT|TMS|1|ZONS|400|20.34|43000002722|Kasey Vega|20.35|4.50|26.05|0.00|0
200000000000003|2005-01-03 09:00:01.746|CMPT|TMB|0|TWR|400|20.93|43000000093|Lydia Proud|20.92|4.50|26.78|0.00|1
200000000000007|2005-01-03 09:00:02.028|CMPT|TMB|1|AALA|800|20.47|43000009012|Cheryl Bruso|20.48|5.00|65.54|0.00|0
200000000000004|2005-01-03 09:00:02.082|CMPT|TMS|1|UTCRPRA|400|25.25|43000001091|Roger Thursby|25.27|4.50|32.35|0.00|0
200000000000010|2005-01-03 09:00:02.094|CMPT|TMS|1|VRCPRA|400|20.68|43000009976|Nancy Haulk|20.68|2.50|23.16|0.00|0
200000000000012|2005-01-03 09:00:02.567|CMPT|TMS|1|TRCMPRB|800|21.03|43000007943|Rolanda Sontag|21.02|4.50|47.08|0.00|0
200000000000017|2005-01-03 09:00:02.622|CMPT|TMS|1|ABCW|200|23.48|43000003801|Robert Swinger|23.48|4.50|16.91|0.00|0
200000000000008|2005-01-03 09:00:02.836|CMPT|TMS|1|WFHCPRB|100|24.92|43000009362|Frances Kunishige|24.95|4.50|8.98|0.00|0
200000000000001|2005-01-03 09:00:02.978|CMPT|TMB|1|BN|100|22.87|43000003862|James Leisch|22.91|4.50|10.08|0.00|0
200000000000020|2005-01-03 09:00:03.051|CMPT|TMS|1|ATMI|100|24.35|43000001572|Edward Lochan|24.35|5.00|9.74|0.00|0
200000000000016|2005-01-03 09:00:03.118|CMPT|TLS|1|DDDP|400|22.77|43000006982|Yvette Lunney|23.46|5.00|30.03|0.00|1
200000000000025|2005-01-03 09:00:03.405|CMPT|TMS|1|FLY|100|23.00|43000004135|Bianca Cellucci|23.00|2.50|7.36|0.00|0
200000000000023|2005-01-03 09:00:03.422|CMPT|TMB|1|ASCLPRA|400|27.49|43000003862|James Leisch|27.48|4.50|35.17|0.00|0
200000000000026|2005-01-03 09:00:04.079|CMPT|TMB|1|ABAX|400|23.21|43000005032|Patricia Raya|23.20|5.00|33.41|0.00|1
200000000000014|2005-01-03 09:00:04.238|CMPT|TMB|1|BTAPRA|100|27.86|43000002331|Jason Gravely|27.82|4.50|10.02|0.00|1
200000000000027|2005-01-03 09:00:04.275|CMPT|TLB|1|USUPRA|400|25.83|43000001433|Niesha Stodden|20.78|5.00|26.60|0.00|0
200000000000031|2005-01-03 09:00:04.403|CMPT|TMB|0|ATL|200|23.09|43000007684|William Lawrence|23.10|4.50|16.63|0.00|0
200000000000034|2005-01-03 09:00:04.648|CMPT|TMB|1|BRYPRA|800|20.29|43000009985|Karey Kottke|20.28|4.50|58.41|0.00|0
200000000000038|2005-01-03 09:00:04.822|CMPT|TMB|0|ADMPRD|400|22.66|43000003071|Stella Wilson|22.66|2.50|25.38|0.00|1
